Faixa etária;Quantitativo;Porcentagem;Ano
21 a 24 anos;126;1,25;1998
25 a 29 anos;391;3,87;1998
30 a 34 anos;935;9,26;1998
35 a 39 anos;1589;15,75;1998
40 a 44 anos;2004;19,86;1998
45 a 49 anos;1969;19,51;1998
50 a 54 anos;1359;13,47;1998
55 a 59 anos;855;8,47;1998
60 a 64 anos;480;4,76;1998
65 a 69 anos;210;2,08;1998
70 a 74 anos;115;1,14;1998
>74 anos;55;0,55;1998
<21 anos;4;0,04;1998
21 a 24 anos;598;4,7;2002
25 a 29 anos;499;3,92;2002
30 a 34 anos;998;7,84;2002
35 a 39 anos;1913;15,02;2002
40 a 44 anos;2466;19,36;2002
45 a 49 anos;2345;18,41;2002
50 a 54 anos;1847;14,5;2002
55 a 59 anos;1017;7,99;2002
60 a 64 anos;548;4,3;2002
65 a 69 anos;288;2,26;2002
70 a 74 anos;126;0,99;2002
>74 anos;82;0,64;2002
<21 anos;9;0,07;2002
21 a 24 anos;188;1,54;2006
25 a 29 anos;496;4,06;2006
30 a 34 anos;957;7,83;2006
35 a 39 anos;1538;12,58;2006
40 a 44 anos;2329;19,05;2006
45 a 49 anos;2370;19,38;2006
50 a 54 anos;1935;15,83;2006
55 a 59 anos;1249;10,22;2006
60 a 64 anos;656;5,37;2006
65 a 69 anos;295;2,41;2006
70 a 74 anos;125;1,02;2006
>74 anos;81;0,67;2006
<21 anos;8;0,06;2006
21 a 24 anos;224;1,56;2010
25 a 29 anos;631;4,39;2010
30 a 34 anos;1156;8,04;2010
35 a 39 anos;1681;11,69;2010
40 a 44 anos;2319;16,13;2010
45 a 49 anos;2702;18,79;2010
50 a 54 anos;2330;16,2;2010
55 a 59 anos;1709;11,88;2010
60 a 64 anos;869;6,04;2010
65 a 69 anos;450;3,13;2010
70 a 74 anos;191;1,33;2010
>74 anos;108;0,76;2010
<21 anos;11;0,07;2010
21 a 24 anos;330;1,94;2014
25 a 29 anos;792;4,66;2014
30 a 34 anos;1491;8,77;2014
35 a 39 anos;2034;11,96;2014
40 a 44 anos;2526;14,86;2014
45 a 49 anos;2893;17,01;2014
50 a 54 anos;2719;15,99;2014
55 a 59 anos;1995;11,73;2014
60 a 64 anos;1253;7,37;2014
65 a 69 anos;557;3,28;2014
70 a 74 anos;255;1,5;2014
>74 anos;113;0,68;2014
<21 anos;46;0,27;2014
21 a 24 anos;378;2,1;2018
25 a 29 anos;716;3,98;2018
30 a 34 anos;1385;7,71;2018
35 a 39 anos;2284;12,71;2018
40 a 44 anos;2710;15,08;2018
45 a 49 anos;2936;16,34;2018
50 a 54 anos;2838;15,79;2018
55 a 59 anos;2152;11,97;2018
60 a 64 anos;1389;7,73;2018
65 a 69 anos;695;3,87;2018
70 a 74 anos;285;1,59 ;2018
>74 anos;152;0,85;2018
<21 anos;21;0,12;2018
21 a 24 anos;207;1,24;2022
25 a 29 anos;612;3,66;2022
30 a 34 anos;1079;6,45;2022
35 a 39 anos;1801;10,76;2022
40 a 44 anos;2689;16,07;2022
45 a 49 anos;2803;16,75;2022
50 a 54 anos;2611;15,6;2022
55 a 59 anos;2259;13,5;2022
60 a 64 anos;1401;8,37;2022
65 a 69 anos;773;4,62;2022
70 a 74 anos;315;1,88;2022
>74 anos;160;1,02;2022
<21 anos;5;0,04;2022
;;;
;;;
