Faixa etária;Quantitativo;Porcentagem;Data de carga
100 anos ou mais;1;0;2024-11-13 10:55:17
18 anos;1;0;2024-11-13 10:55:17
19 anos;9;0,0003;2024-11-13 10:55:17
20 anos;15;0,0005;2024-11-13 10:55:17
21 a 24 anos;528;0,0181;2024-11-13 10:55:17
25 a 29 anos;1059;0,0363;2024-11-13 10:55:17
30 a 34 anos;2104;0,0722;2024-11-13 10:55:17
35 a 39 anos;3602;0,1236;2024-11-13 10:55:17
40 a 44 anos;4302;0,1476;2024-11-13 10:55:17
45 a 49 anos;4686;0,1607;2024-11-13 10:55:17
50 a 54 anos;4597;0,1577;2024-11-13 10:55:17
55 a 59 anos;3638;0,1248;2024-11-13 10:55:17
60 a 64 anos;2418;0,0829;2024-11-13 10:55:17
65 a 69 anos;1275;0,0437;2024-11-13 10:55:17
70 a 74 anos;555;0,019;2024-11-13 10:55:17
75 a 79 anos;221;0,0076;2024-11-13 10:55:17
80 a 84 anos;53;0,0018;2024-11-13 10:55:17
85 a 89 anos;13;0,0004;2024-11-13 10:55:17
90 a 94 anos;7;0,0002;2024-11-13 10:55:17
Não divulgável;69;0,0024;2024-11-13 10:55:17
