Faixa etária;Quantitativo;Porcentagem;Ano
21 a 24 anos;37;1,07;1998
25 a 29 anos;96;2,78;1998
30 a 34 anos;256;7,42;1998
35 a 39 anos;439;12,73;1998
40 a 44 anos;632;18,32;1998
45 a 49 anos;589;17,08;1998
50 a 54 anos;545;15,8;1998
55 a 59 anos;392;11,37;1998
60 a 64 anos;235;6,81;1998
65 a 69 anos;124;3,6;1998
70 a 74 anos;65;1,88;1998
>74 anos;39;1,13;1998
<21 anos;0;0;1998
21 a 24 anos;250;5,1;2002
25 a 29 anos;161;3,28;2002
30 a 34 anos;334;6,81;2002
35 a 39 anos;666;13,59;2002
40 a 44 anos;775;15,81;2002
45 a 49 anos;902;18,4;2002
50 a 54 anos;728;14,85;2002
55 a 59 anos;505;10,3;2002
60 a 64 anos;311;6,34;2002
65 a 69 anos;156;3,18;2002
70 a 74 anos;68;1,39;2002
>74 anos;45;0,91;2002
<21 anos;1;0,02;2002
21 a 24 anos;60;1,14;2006
25 a 29 anos;156;2,96;2006
30 a 34 anos;325;6,17;2006
35 a 39 anos;569;10,8;2006
40 a 44 anos;870;16,51;2006
45 a 49 anos;1037;19,68;2006
50 a 54 anos;873;16,57;2006
55 a 59 anos;634;12,03;2006
60 a 64 anos;378;7,17;2006
65 a 69 anos;197;3,74;2006
70 a 74 anos;112;2,13;2006
>74 anos;57;1,08;2006
<21 anos;1;0,02;2006
21 a 24 anos;82;1,36;2010
25 a 29 anos;231;3,84;2010
30 a 34 anos;401;6,67;2010
35 a 39 anos;654;10,87;2010
40 a 44 anos;861;14,31;2010
45 a 49 anos;1083;18;2010
50 a 54 anos;995;16,54;2010
55 a 59 anos;788;13,1;2010
60 a 64 anos;478;7,95;2010
65 a 69 anos;255;4,24;2010
70 a 74 anos;119;1,98;2010
>74 anos;67;1,11;2010
<21 anos;1;0,02;2010
21 a 24 anos;145;2,03;2014
25 a 29 anos;303;4,25;2014
30 a 34 anos;548;7,68;2014
35 a 39 anos;743;10,41;2014
40 a 44 anos;998;13,99;2014
45 a 49 anos;1174;16,45;2014
50 a 54 anos;1175;16,47;2014
55 a 59 anos;877;12,29;2014
60 a 64 anos;616;8,63;2014
65 a 69 anos;306;4,29;2014
70 a 74 anos;157;2,2;2014
>74 anos;85;1,19;2014
<21 anos;9;0,12;2014
21 a 24 anos;130;1,51;2018
25 a 29 anos;309;3,59;2018
30 a 34 anos;621;7,22;2018
35 a 39 anos;1001;11,63;2018
40 a 44 anos;1236;14,36;2018
45 a 49 anos;1349;15,67;2018
50 a 54 anos;1349;15,67;2018
55 a 59 anos;1126;13,08;2018
60 a 64 anos;773;8,98;2018
65 a 69 anos;415;4,82;2018
70 a 74 anos;185;2,15;2018
>74 anos;91;1,06;2018
<21 anos;3;0,03;2018
21 a 24 anos;118;1,11;2022
25 a 29 anos;357;3,36;2022
30 a 34 anos;630;5,93;2022
35 a 39 anos;1158;10,89;2022
40 a 44 anos;1618;15,22;2022
45 a 49 anos;1708;16,07;2022
50 a 54 anos;1652;15,54;2022
55 a 59 anos;1400;13,17;2022
60 a 64 anos;964;9,07;2022
65 a 69 anos;576;5,42;2022
70 a 74 anos;298;2,8;2022
>74 anos;143;1,35;2022
<21 anos;0;0;2022
