Faixa etária;Quantitativo;Porcentagem;Data de carga
100 anos ou mais;2;0,0001;2023-03-01 16:46:07
18 anos;2;0,0001;2023-03-01 16:46:07
19 anos;3;0,0002;2023-03-01 16:46:07
20 anos;5;0,0003;2023-03-01 16:46:07
21 a 24 anos;266;0,0138;2023-03-01 16:46:07
25 a 29 anos;684;0,0355;2023-03-01 16:46:07
30 a 34 anos;1354;0,0703;2023-03-01 16:46:07
35 a 39 anos;2311;0,12;2023-03-01 16:46:07
40 a 44 anos;3522;0,1828;2023-03-01 16:46:07
45 a 49 anos;3765;0,1955;2023-03-01 16:46:07
50 a 54 anos;3106;0,1612;2023-03-01 16:46:07
55 a 59 anos;2082;0,1081;2023-03-01 16:46:07
60 a 64 anos;1163;0,0604;2023-03-01 16:46:07
65 a 69 anos;558;0,029;2023-03-01 16:46:07
70 a 74 anos;273;0,0142;2023-03-01 16:46:07
75 a 79 anos;120;0,0062;2023-03-01 16:46:07
80 a 84 anos;31;0,0016;2023-03-01 16:46:07
85 a 89 anos;12;0,0006;2023-03-01 16:46:07
90 a 94 anos;3;0,0002;2023-03-01 16:46:07
95 a 99 anos;1;0,0001;2023-03-01 16:46:07
