Ano;Faixa etária;Quantitativo;Porcentagem
2000;25 a 29 anos;25663;0,0643
2000;18 anos;351;0,0009
2000;80 a 84 anos;279;0,0007
2000;95 a 99 anos;1;0
2000;70 a 74 anos;3511;0,0088
2000;90 a 94 anos;5;0
2000;65 a 69 anos;7955;0,0199
2000;21 a 24 anos;10462;0,0262
2000;85 a 89 anos;52;0,0001
2000;16 anos;4;0
2000;20 anos;1278;0,0032
2000;35 a 39 anos;69040;0,1729
2000;50 a 54 anos;46828;0,1173
2000;55 a 59 anos;28161;0,0705
2000;30 a 34 anos;46715;0,117
2000;45 a 49 anos;66172;0,1657
2000;60 a 64 anos;16567;0,0415
2000;17 anos;1;0
2000;40 a 44 anos;74312;0,1861
2000;75 a 79 anos;1138;0,0028
2000;19 anos;835;0,0021
2000;<21 anos;2469;0,0062
2000;>74 anos;1475;0,0036
2004;85 a 89 anos;63;0,0002
2004;16 anos;1;0
2004;20 anos;1493;0,0037
2004;55 a 59 anos;30288;0,0754
2004;35 a 39 anos;64325;0,1602
2004;50 a 54 anos;51062;0,1271
2004;45 a 49 anos;66756;0,1662
2004;30 a 34 anos;43827;0,1091
2004;60 a 64 anos;16221;0,0404
2004;17 anos;2;0
2004;40 a 44 anos;75687;0,1885
2004;19 anos;1033;0,0026
2004;75 a 79 anos;1157;0,0029
2004;25 a 29 anos;25857;0,0644
2004;80 a 84 anos;279;0,0007
2004;18 anos;487;0,0012
2004;100 anos ou mais;266;0,0007
2004;70 a 74 anos;3131;0,0078
2004;90 a 94 anos;7;0
2004;21 a 24 anos;11571;0,0288
2004;65 a 69 anos;8104;0,0202
2004;<21 anos;3016;0,0075
2004;>74 anos;1765;0,0045
2008;85 a 89 anos;76;0,0002
2008;20 anos;1337;0,0035
2008;35 a 39 anos;54766;0,1436
2008;50 a 54 anos;52110;0,1367
2008;55 a 59 anos;33732;0,0885
2008;45 a 49 anos;66334;0,174
2008;30 a 34 anos;38716;0,1015
2008;60 a 64 anos;17779;0,0466
2008;17 anos;3;0
2008;40 a 44 anos;68738;0,1803
2008;75 a 79 anos;1166;0,0031
2008;19 anos;874;0,0023
2008;25 a 29 anos;23797;0,0624
2008;18 anos;377;0,001
2008;80 a 84 anos;366;0,001
2008;100 anos ou mais;18;0
2008;95 a 99 anos;2;0
2008;70 a 74 anos;3533;0,0093
2008;90 a 94 anos;16;0
2008;65 a 69 anos;8371;0,022
2008;21 a 24 anos;9216;0,0242
2008;<21 anos;2591;0,0068
2008;>74 anos;476;0,0012
2012;85 a 89 anos;111;0,0002
2012;20 anos;1967;0,0041
2012;55 a 59 anos;45562;0,0944
2012;35 a 39 anos;66278;0,1373
2012;50 a 54 anos;66693;0,1381
2012;30 a 34 anos;51602;0,1069
2012;45 a 49 anos;81077;0,1679
2012;60 a 64 anos;25641;0,0531
2012;17 anos;9;0
2012;40 a 44 anos;77649;0,1608
2012;19 anos;1508;0,0031
2012;75 a 79 anos;1636;0,0034
2012;25 a 29 anos;31211;0,0646
2012;18 anos;691;0,0014
2012;80 a 84 anos;474;0,001
2012;100 anos ou mais;165;0,0003
2012;95 a 99 anos;5;0
2012;70 a 74 anos;4900;0,0101
2012;Não divulgável;1086;0,0022
2012;90 a 94 anos;13;0
2012;65 a 69 anos;11491;0,0238
2012;21 a 24 anos;13099;0,0271
2012;<21 anos;4175;0,0086
2012;>74 anos;755;0,0015
2016;85 a 89 anos;133;0,0003
2016;20 anos;2235;0,0045
2016;50 a 54 anos;70432;0,1417
2016;35 a 39 anos;69910;0,1407
2016;55 a 59 anos;49198;0,099
2016;30 a 34 anos;51727;0,1041
2016;45 a 49 anos;77343;0,1556
2016;60 a 64 anos;29941;0,0602
2016;40 a 44 anos;76776;0,1545
2016;75 a 79 anos;2000;0,004
2016;19 anos;1701;0,0034
2016;25 a 29 anos;30460;0,0613
2016;80 a 84 anos;583;0,0012
2016;18 anos;702;0,0014
2016;95 a 99 anos;2;0
2016;100 anos ou mais;8;0
2016;70 a 74 anos;5696;0,0115
2016;Não divulgável;92;0,0002
2016;90 a 94 anos;27;0,0001
2016;65 a 69 anos;14369;0,0289
2016;21 a 24 anos;13642;0,0274
2016;<21 anos;4638;0,0093
2016;>74 anos;2726;0,0055
2020;85 a 89 anos;123;0,0002
2020;16 anos;1;0
2020;20 anos;1972;0,0035
2020;50 a 54 anos;78499;0,1408
2020;35 a 39 anos;77326;0,1387
2020;55 a 59 anos;61531;0,1103
2020;30 a 34 anos;51325;0,092
2020;45 a 49 anos;86283;0,1547
2020;60 a 64 anos;36910;0,0662
2020;17 anos;2;0
2020;40 a 44 anos;88637;0,1589
2020;19 anos;1388;0,0025
2020;75 a 79 anos;2468;0,0044
2020;25 a 29 anos;29878;0,0536
2020;18 anos;648;0,0012
2020;80 a 84 anos;633;0,0011
2020;95 a 99 anos;8;0
2020;100 anos ou mais;6;0
2020;70 a 74 anos;7611;0,0136
2020;Não divulgável;279;0,0005
2020;90 a 94 anos;20;0
2020;65 a 69 anos;19022;0,0341
2020;21 a 24 anos;13108;0,0235
2020;<21 anos;4011;0,0072
2020;>74 anos;790;0,0013
2024;85 a 89 anos;156;0,0003
2024;20 anos;1064;0,0023
2024;50 a 54 anos;67628;0,1459
2024;35 a 39 anos;56222;0,1213
2024;55 a 59 anos;55276;0,1193
2024;30 a 34 anos;35046;0,0756
2024;45 a 49 anos;74932;0,1617
2024;60 a 64 anos;37733;0,0814
2024;17 anos;4;0
2024;40 a 44 anos;74803;0,1614
2024;19 anos;836;0,0018
2024;75 a 79 anos;2935;0,0063
2024;25 a 29 anos;19713;0,0425
2024;18 anos;407;0,0009
2024;80 a 84 anos;763;0,0016
2024;95 a 99 anos;3;0
2024;100 anos ou mais;4;0
2024;70 a 74 anos;8909;0,0192
2024;Não divulgável;45;0,0001
2024;90 a 94 anos;14;0
2024;65 a 69 anos;19842;0,0428
2024;21 a 24 anos;7059;0,0152
2024;<21 anos;2311;0,005
2024;>74 anos;3875;0,0082
1996;25 a 29 anos;655;0,0602
1996;80 a 84 anos;8;0,0007
1996;18 anos;5;0,0005
1996;100 anos ou mais;1;0,0001
1996;70 a 74 anos;71;0,0065
1996;21 a 24 anos;201;0,0185
1996;65 a 69 anos;187;0,0172
1996;Inválida;7;0,0006
1996;85 a 89 anos;1;0,0001
1996;20 anos;31;0,0029
