Faixa etária;Quantitativo;Porcentagem;Data de carga
85 a 89 anos;156;0,0003;2024-12-18 16:30:15
20 anos;1064;0,0023;2024-12-18 16:30:15
50 a 54 anos;67628;0,1459;2024-12-18 16:30:15
35 a 39 anos;56222;0,1213;2024-12-18 16:30:15
55 a 59 anos;55276;0,1193;2024-12-18 16:30:15
30 a 34 anos;35046;0,0756;2024-12-18 16:30:15
45 a 49 anos;74932;0,1617;2024-12-18 16:30:15
60 a 64 anos;37733;0,0814;2024-12-18 16:30:15
17 anos;4;0;2024-12-18 16:30:15
40 a 44 anos;74803;0,1614;2024-12-18 16:30:15
19 anos;836;0,0018;2024-12-18 16:30:15
75 a 79 anos;2935;0,0063;2024-12-18 16:30:15
25 a 29 anos;19713;0,0425;2024-12-18 16:30:15
18 anos;407;0,0009;2024-12-18 16:30:15
80 a 84 anos;763;0,0016;2024-12-18 16:30:15
95 a 99 anos;3;0;2024-12-18 16:30:15
100 anos ou mais;4;0;2024-12-18 16:30:15
70 a 74 anos;8909;0,0192;2024-12-18 16:30:15
Não divulgável;45;0,0001;2024-12-18 16:30:15
90 a 94 anos;14;0;2024-12-18 16:30:15
65 a 69 anos;19842;0,0428;2024-12-18 16:30:15
21 a 24 anos;7059;0,0152;2024-12-18 16:30:15
