Faixa etária;Quantitativo;Porcentagem;Data de carga
16 anos;4;0;2024-01-19 18:39:50
17 anos;1;0;2023-03-02 09:45:49
18 anos;351;0,0009;2023-03-02 09:45:49
19 anos;835;0,0021;2024-01-19 18:39:50
20 anos;1278;0,0032;2024-01-19 18:39:50
21 a 24 anos;10462;0,0262;2024-01-19 18:39:50
25 a 29 anos;25663;0,0643;2024-01-19 18:39:50
30 a 34 anos;46715;0,117;2024-01-19 18:39:50
35 a 39 anos;69040;0,1729;2024-01-19 18:39:50
40 a 44 anos;74312;0,1861;2024-01-19 18:39:50
45 a 49 anos;66172;0,1657;2024-01-19 18:39:50
50 a 54 anos;46828;0,1173;2024-01-19 18:39:50
55 a 59 anos;28161;0,0705;2024-01-19 18:39:50
60 a 64 anos;16567;0,0415;2024-01-19 18:39:50
65 a 69 anos;7955;0,0199;2024-01-19 18:39:50
70 a 74 anos;3511;0,0088;2024-01-19 18:39:50
75 a 79 anos;1138;0,0028;2024-01-19 18:39:50
80 a 84 anos;279;0,0007;2024-01-19 18:39:50
85 a 89 anos;52;0,0001;2024-01-19 18:39:50
90 a 94 anos;5;0;2023-03-02 09:45:49
95 a 99 anos;1;0;2023-03-02 09:45:49
