Faixa etária;Quantitativo;Porcentagem;Ano
100 anos ou mais;6;0,04;2004
19 anos;1;0,01;2004
20 anos;2;0,01;2004
21 a 24 anos;86;0,53;2004
25 a 29 anos;302;1,87;2004
30 a 34 anos;302;5,50 ;2004
35 a 39 anos;1989;12,33;2004
40 a 44 anos;3038;18,84 ;2004
45 a 49 anos;3093;19,18;2004
50 a 54 anos;2833;17,57;2004
55 a 59 anos;1878;11,65;2004
60 a 64 anos;1079;6,69;2004
65 a 69 anos;560;3,47 ;2004
70 a 74 anos;243;1,51;2004
75 a 79 anos;96;0,6;2004
80 a 84 anos;26;0,16 ;2004
85 a 89 anos;8;0,05;2004
