Faixa etária;Quantitativo;Porcentagem;Data de carga
25 a 29 anos;979;0,0335;2024-12-29 03:36:14
80 a 84 anos;88;0,003;2024-12-29 03:36:14
18 anos;1;0;2024-12-29 03:36:14
70 a 74 anos;690;0,0236;2024-12-29 03:36:14
Não divulgável;28;0,001;2024-12-29 03:36:14
90 a 94 anos;3;0,0001;2024-12-29 03:36:14
65 a 69 anos;1499;0,0512;2024-12-29 03:36:14
21 a 24 anos;335;0,0114;2024-12-29 03:36:14
85 a 89 anos;10;0,0003;2024-12-29 03:36:14
20 anos;3;0,0001;2024-12-29 03:36:14
50 a 54 anos;4565;0,156;2024-12-29 03:36:14
55 a 59 anos;3904;0,1334;2024-12-29 03:36:14
35 a 39 anos;3165;0,1082;2024-12-29 03:36:14
45 a 49 anos;4814;0,1645;2024-12-29 03:36:14
30 a 34 anos;1779;0,0608;2024-12-29 03:36:14
60 a 64 anos;2570;0,0878;2024-12-29 03:36:14
40 a 44 anos;4575;0,1563;2024-12-29 03:36:14
75 a 79 anos;253;0,0086;2024-12-29 03:36:14
19 anos;1;0;2024-12-29 03:36:14
