Faixa etária;Quantitativo;Porcentagem;Ano
21 a 24 anos;10191;2,77;2000
25 a 29 anos;24847;6,74;2000
30 a 34 anos;44520;12,08;2000
35 a 39 anos;64597;17,53;2000
40 a 44 anos;68702;18,64;2000
45 a 49 anos;60273;16,35;2000
50 a 54 anos;42242;11,46;2000
55 a 59 anos;25042;6,79;2000
60 a 64 anos;14592;3,96;2000
65 a 69 anos;6915;1,88;2000
70 a 74 anos;2970;0,81;2000
>74 anos;1209;0,32;2000
<21 anos;2447;0,67;2000
21 a 24 anos;11219;3,04;2004
25 a 29 anos;24909;6,75;2004
30 a 34 anos;41703;11,3;2004
35 a 39 anos;60088;16,28;2004
40 a 44 anos;69498;18,83;2004
45 a 49 anos;60829;16,48;2004
50 a 54 anos;45817;12,42;2004
55 a 59 anos;26754;7,25;2004
60 a 64 anos;14141;3,83;2004
65 a 69 anos;6991;1,89;2004
70 a 74 anos;2609;0,71;2004
>74 anos;1468;0,4;2004
<21 anos;488;0,81;2004
21 a 24 anos;8865;2,53;2008
25 a 29 anos;22841;6,53;2008
30 a 34 anos;36818;10,53;2008
35 a 39 anos;51360;14,68;2008
40 a 44 anos;63188;18,07;2008
45 a 49 anos;60407;17,27;2008
50 a 54 anos;46965;13,43;2008
55 a 59 anos;29863;8,54;2008
60 a 64 anos;15426;4,41;2008
65 a 69 anos;7178;2,05;2008
70 a 74 anos;2979;0,85;2008
>74 anos;1306;0,38;2008
<21 anos;2568;0,74;2008
21 a 24 anos;12767;2,83;2012
25 a 29 anos;30130;6,69;2012
30 a 34 anos;49365;10,95;2012
35 a 39 anos;62774;13,93;2012
40 a 44 anos;72737;16,14;2012
45 a 49 anos;75056;16,65;2012
50 a 54 anos;61453;13,64;2012
55 a 59 anos;41557;9,22;2012
60 a 64 anos;23092;5,12;2012
65 a 69 anos;10228;2,27;2012
70 a 74 anos;4339;0,96;2012
>74 anos;2129;0,47;2012
<21 anos;4164;0,92;2012
21 a 24 anos;13344;2,88;2016
25 a 29 anos;29449;6,35;2016
30 a 34 anos;49509;10,68;2016
35 a 39 anos;66083;14,26;2016
40 a 44 anos;72013;15,54;2016
45 a 49 anos;71821;15,5;2016
50 a 54 anos;64631;13,95;2016
55 a 59 anos;44932;9,7;2016
60 a 64 anos;26913;5,81;2016
65 a 69 anos;12759;2,75;2016
70 a 74 anos;4917;1,06;2016
>74 anos;2374;0,5;2016
<21 anos;4626;1;2016
21 a 24 anos;12802;2,47;2020
25 a 29 anos;28844;5,56;2020
30 a 34 anos;48935;9,44;2020
35 a 39 anos;72912;14,06;2020
40 a 44 anos;82923;15,99;2020
45 a 49 anos;80157;15,46;2020
50 a 54 anos;72393;13,96;2020
55 a 59 anos;56009;10,8;2020
60 a 64 anos;33317;6,43;2020
65 a 69 anos;16797;3,24;2020
70 a 74 anos;6532;1,26;2020
>74 anos;2697;0,52;2020
<21 anos;4006;0,77;2020
21 a 24 anos;6891;1,6;2024
25 a 29 anos;19078;4,42;2024
30 a 34 anos;33480;7,75;2024
35 a 39 anos;53059;12,28;2024
40 a 44 anos;70178;16,24;2024
45 a 49 anos;69992;16,2;2024
50 a 54 anos;62936;14,57;2024
55 a 59 anos;51022;11,81;2024
60 a 64 anos;34161;7,91;2024
65 a 69 anos;17770;4,11;2024
70 a 74 anos;7811;1,81;2024
>74 anos;3277;0,75;2024
<21 anos;2308;0,53;2024
