Faixa etária;Quantitativo;Porcentagem;Data de carga
100 anos ou mais;266;0,0007;2023-03-01 19:04:08
16 anos;1;0;2023-03-01 19:04:08
17 anos;2;0;2023-03-01 19:04:08
18 anos;487;0,0012;2023-03-01 19:04:08
19 anos;1033;0,0026;2023-03-01 19:04:08
20 anos;1493;0,0037;2023-03-01 19:04:08
21 a 24 anos;11571;0,0288;2023-03-01 19:04:08
25 a 29 anos;25857;0,0644;2023-03-01 19:04:08
30 a 34 anos;43827;0,1091;2023-03-01 19:04:08
35 a 39 anos;64325;0,1602;2023-03-01 19:04:08
40 a 44 anos;75687;0,1885;2023-03-01 19:04:08
45 a 49 anos;66756;0,1662;2023-03-01 19:04:08
50 a 54 anos;51062;0,1271;2023-03-01 19:04:08
55 a 59 anos;30288;0,0754;2023-03-01 19:04:08
60 a 64 anos;16221;0,0404;2023-03-01 19:04:08
65 a 69 anos;8104;0,0202;2023-03-01 19:04:08
70 a 74 anos;3131;0,0078;2023-03-01 19:04:08
75 a 79 anos;1157;0,0029;2023-03-01 19:04:08
80 a 84 anos;279;0,0007;2023-03-01 19:04:08
85 a 89 anos;63;0,0002;2023-03-01 19:04:08
90 a 94 anos;7;0;2023-03-01 19:04:08
